"Sr. no.",ID,"IP Address",location,university,course,degree_level,visa,"entry requirement","annual fee",ranking,"created at"
1,953,,,,"BACHELOR OF SCIENCE [BS]",,,,0,,04-05-2018
2,952,,,"Indian Institute of Technology Kharagpur",,,,,0,,04-05-2018
3,951,,,,,Phd,,,0,,04-05-2018
4,950,,,"Indian Institute of Technology Kanpur",,,,,0,,04-05-2018
5,949,,,"Indian Institute of Technology Kanpur",,,,,0,,04-05-2018
6,948,,,,"BACHELOR OF SCIENCE [BS]",,,,0,,04-05-2018
7,947,,,,"BACHELOR OF SCIENCE [BS]",,,,0,,04-05-2018
8,946,,,,,MBA,,,0,,04-05-2018
9,945,,,,,MBA,,,0,,04-05-2018
10,944,,,"Indian Institute of Technology Kanpur",,,,,0,,04-05-2018
